Title,member-company,phone-number,e-mail,address,member-home-type,member-design-style,member-preferred-budget,member-short-detail,member-accreditation,Date,"Post Type",Permalink,"Image URL","Image Title","Image Featured"
"Project J Studio","Project J Studio","'+65 9119 4956",johnkuan@projectjstudio.com,"114 Lavender Street #09-56 CT HUB 2 Singapore 338729",Condo,Asian,"S$ 30,000 to S$ 40,000","<div class=""elementor-element elementor-element-1ce0206 elementor-widget elementor-widget-heading"" data-id=""1ce0206"" data-element_type=""widget"" data-widget_type=""heading.default"">
<div class=""elementor-widget-container"">
<h3 class=""elementor-heading-title elementor-size-default"">Your Story, Crafted by Us</h3>
</div>
</div>
<div class=""elementor-element elementor-element-fe67049 elementor-widget elementor-widget-text-editor"" data-id=""fe67049"" data-element_type=""widget"" data-widget_type=""text-editor.default"">
<div class=""elementor-widget-container"">
<p align=""justify"">Your space is a reflection of your story with Project J Studio, is here to craft a narrative that transcends time. Let your journey to timeless design begin with us – where passion meets innovation, and dreams are brought to life. Embark on this design adventure with Project J Studio, and let us transform your space into a timeless masterpiece. Because your story deserves to be told in every curve, color, and contour.</p>
</div>
</div>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-24,member-list,https://renoresearch.sg/member-list/project-j-studio/,https://renoresearch.sg/wp-content/uploads/2024/06/Project-J-Studio-Logo-PNG.png|https://renoresearch.sg/wp-content/uploads/2024/06/Project-J-Studio-Logo.png,"Project J Studio Logo (PNG)|Project J Studio Logo",https://renoresearch.sg/wp-content/uploads/2024/06/Project-J-Studio-Logo-PNG.png
"Sulley Interiors SG","Sulley Interiors SG","'+65 8853 4059",hello@sulleyinteriors.com,"101 Woodlands Ave 12 #05-28 Polaris @ Woodlands Singapore, 737719",Condo,Asian,30001-50000,"<p>Combining our expertise, ingenuity and creativity, we'll bring your dream home to life.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-24,member-list,https://renoresearch.sg/member-list/sulley-interiors-sg/,https://renoresearch.sg/wp-content/uploads/2024/06/Sulley-Interiors-SG-Logo.png|https://renoresearch.sg/wp-content/uploads/2024/06/Sulley-Interiors-SG-Logo.jpg,"Sulley Interiors SG Logo|Sulley Interiors SG Logo",https://renoresearch.sg/wp-content/uploads/2024/06/Sulley-Interiors-SG-Logo.png
"Creo Design","Creo Interior Design Pte Ltd","'+65 8767 7717",dyen@creo.sg,"2 Venture Drive #14-02 Vision Exchange Singapore 608528",Condo,Asian,30001-50000,"<p>From design consultations to a detailed plan package, let Creo Interior Design be with you every step of the way. -a-kind space tailored to your liking and needs.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:4:""true"";}",2024-06-24,member-list,https://renoresearch.sg/member-list/creo-design/,https://renoresearch.sg/wp-content/uploads/2024/06/Creo-Design-Logo.png|https://renoresearch.sg/wp-content/uploads/2024/06/Creo-Design-Logo.jpg,"Creo Design Logo|Creo Design Logo",https://renoresearch.sg/wp-content/uploads/2024/06/Creo-Design-Logo.png
"Artista Deco","Artista Deco Pte. Ltd.","'+65 9785 7009",artistadecosg@gmail.com,"80 Genting lane #04-08A, Singapore 349565",Condo,Asian,"S$ 30,000 to S$ 40,000","<p class=""max-width-medium for--about-us"">Our team of consultants aim to achieve not only aesthetically pleasing designs for your dream home but also functionality and practicality to the fine details.</p>
<ol class=""list-wrapper w-list-unstyled"" role=""list"">
<li class=""list-item"">
<h4 class=""list_item-text"">Team of Experienced Professionals</h4>
</li>
<li class=""list-item"">
<h4 class=""list_item-text"">Highly resourceful and budget-friendly</h4>
</li>
<li class=""list-item"">
<h4 class=""list_item-text"">Strive for highest customer satisfaction</h4>
</li>
<li class=""list-item"">
<h4 class=""list_item-text"">Quality Assurance</h4>
</li>
</ol>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-24,member-list,https://renoresearch.sg/member-list/artista-deco/,https://renoresearch.sg/wp-content/uploads/2024/06/Artista-Deco-Logo-PNG.png|https://renoresearch.sg/wp-content/uploads/2024/06/Artista-Deco-Logo.jpg,"Artista Deco Logo (PNG)|Artista Deco Logo",https://renoresearch.sg/wp-content/uploads/2024/06/Artista-Deco-Logo-PNG.png
"Impress Interior Design","Impress Interior Design","'+65 8406 9364",impressinteriormarketing@gmail.com,"Blk 2 Joo Chiat Complex #01-1123 Singapore 420002","HDB (BTO)",Asian,30001-50000,"<p>We provide one stop solution for all your interior requirements for new BTO &amp; resale home renovation</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-08-06,member-list,https://renoresearch.sg/member-list/impress-interior-design/,https://renoresearch.sg/wp-content/uploads/2024/08/Impress-Interior-Design-Logo.png|https://renoresearch.sg/wp-content/uploads/2024/08/Impress-Interior-Design-Logo.jpeg,"Impress Interior Design Logo|Impress Interior Design Logo",https://renoresearch.sg/wp-content/uploads/2024/08/Impress-Interior-Design-Logo.png
"Interior Times Singapore","Interior Times Design 1 Pte. Ltd.","'+65 9176 3327",hengkyky@hotmail.com,"3 Ang Mo Kio Street 62 #01-08 Link @ AMK, Singapore 569139","HDB (BTO)",Asian,,"<p>Interior Times have built an award winning Design Consultancy with their friendly, approachable attitude, enthusiasm and meticulous attention to detail.</p>
<p>They take pride in every commission in Singapore. whether the client is a leading developer in the luxury housing sector or a private individual.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:4:""true"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-08-06,member-list,https://renoresearch.sg/?post_type=member-list&p=6071,https://renoresearch.sg/wp-content/uploads/2024/08/Interior-Times-Singapore-Logo.jpg,"Interior Times Singapore Logo",https://renoresearch.sg/wp-content/uploads/2024/08/Interior-Times-Singapore-Logo.jpg
Wideangle,Wideangle,"'+65 8828 6343",sales@wideangle.com.sg,"3 Ang Mo Kio St 62 #01-01 Link @AMK Singapore 569139","HDB (BTO)",Asian,"S$ 30,000 to S$ 40,000","<p><span>Are you ready to experience interior design that is both creative and fun?</span><span class=""html-span xexx8yu x4uap5 x18d9i69 xkhd6sd x1hl2dhg x16tdsg8 x1vvkbs x3nfvp2 x1j61x8r x1fcty0u xdj266r xat24cr xgzva0m xhhsvwb xxymvpz xlup9mm x1kky2od""><img class=""xz74otr"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t82/1/16/1f3a8.png"" alt=""🎨"" width=""16"" height=""16"" /></span><span class=""html-span xexx8yu x4uap5 x18d9i69 xkhd6sd x1hl2dhg x16tdsg8 x1vvkbs x3nfvp2 x1j61x8r x1fcty0u xdj266r xat24cr xgzva0m xhhsvwb xxymvpz xlup9mm x1kky2od""><img class=""xz74otr"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tf4/1/16/2728.png"" alt=""✨"" width=""16"" height=""16"" /></span><span>We’ll transform your space into a spectacular masterpiece while ensuring a seamless process and on-time delivery!</span><span class=""html-span xexx8yu x4uap5 x18d9i69 xkhd6sd x1hl2dhg x16tdsg8 x1vvkbs x3nfvp2 x1j61x8r x1fcty0u xdj266r xat24cr xgzva0m xhhsvwb xxymvpz xlup9mm x1kky2od""><img class=""xz74otr"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t34/1/16/23f0.png"" alt=""⏰"" width=""16"" height=""16"" /></span><span class=""html-span xexx8yu x4uap5 x18d9i69 xkhd6sd x1hl2dhg x16tdsg8 x1vvkbs x3nfvp2 x1j61x8r x1fcty0u xdj266r xat24cr xgzva0m xhhsvwb xxymvpz xlup9mm x1kky2od""><img class=""xz74otr"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t33/1/16/2705.png"" alt=""✅"" width=""16"" height=""16"" /></span></p>
<p><span>Remember, life is too short to tolerate delays and compromises. Choose our interior design company and embrace joyful change!</span><span class=""html-span xexx8yu x4uap5 x18d9i69 xkhd6sd x1hl2dhg x16tdsg8 x1vvkbs x3nfvp2 x1j61x8r x1fcty0u xdj266r xat24cr xgzva0m xhhsvwb xxymvpz xlup9mm x1kky2od""><img class=""xz74otr"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tf4/1/16/2728.png"" alt=""✨"" width=""16"" height=""16"" /></span><span class=""html-span xexx8yu x4uap5 x18d9i69 xkhd6sd x1hl2dhg x16tdsg8 x1vvkbs x3nfvp2 x1j61x8r x1fcty0u xdj266r xat24cr xgzva0m xhhsvwb xxymvpz xlup9mm x1kky2od""><img class=""xz74otr"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tfd/1/16/1f64c.png"" alt=""🙌"" width=""16"" height=""16"" /></span></p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-08-06,member-list,https://renoresearch.sg/member-list/wideangle/,https://renoresearch.sg/wp-content/uploads/2024/08/Wideangle-Logo-PNG.png|https://renoresearch.sg/wp-content/uploads/2024/08/Wideangle-Logo.jpg,"Wideangle Logo PNG|Wideangle Logo",https://renoresearch.sg/wp-content/uploads/2024/08/Wideangle-Logo-PNG.png
"Le Créateur Design","Le Créateur Interior Design","'+65 9487 5228",admin@lecreateurinterior.com,"61 Ubi Road 1 #03-20, Oxley Bizhub (Lobby 3) Singapore 408727","HDB (BTO)",Asian,30001-50000,"<p>Le Créateur is a prestigious Interior Design firm with professional designer based in Singapore. It has been established since 2010, with more than 8 years’ professional experiences of interior design and renovation services in the market.</p>
<p>We are specialised in Singapore interior design nova, space planning and architectural planning. Our projects usually covered from commercial, residential, office, retail, factory, healthcare and etc.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-08-06,member-list,https://renoresearch.sg/member-list/le-createur-design/,https://renoresearch.sg/wp-content/uploads/2024/08/Le-Createur-Design-Logo-PNG.png,"Le Créateur Design Logo PNG",https://renoresearch.sg/wp-content/uploads/2024/08/Le-Createur-Design-Logo-PNG.png
"AT Design Group","AT Design Group Pte Ltd","'+65 9297 5100",info@atdesigngroup.com.sg,"195, Pearl's Hill Terrace #03-17 Singapore 168976","HDB (BTO)",Asian,30001-50000,"<p>“AT DESIGN GROUP” was established in 1994 providing creative yet functional interior design solutions and renovation services to our clients. Our reliability and resiliency through the years, has allowed us to build a wide client base consisting of commercial offices, medical practices, boutiques, restaurant and residences. We pride ourselves in completing our projects on time and on budget and with excellent support after we handover our projects to our clients.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:4:""true"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-08-06,member-list,https://renoresearch.sg/member-list/at-design-group/,https://renoresearch.sg/wp-content/uploads/2024/08/AT-Design-Group-Logo-PNG.png,"AT Design Group Logo PNG",https://renoresearch.sg/wp-content/uploads/2024/08/AT-Design-Group-Logo-PNG.png
"ArtDecor Design Studio","ArtDecor Design Studio Pte Ltd","'+65 9363 2626",sales@artdecordesign.net,"2 Defu South Street 1 #05-03 JTC Industrial City Singapore 533755","HDB (BTO)",Asian,"S$ 30,000 to S$ 40,000","<p>Since 1970, ArtDecor Design Studio has evolved from a modest workshop to a leading firm with a 20,000 sq ft carpentry factory in Singapore. Our 54-year journey highlights our dedication to quality and innovation. We offer a trusted, one-stop interior design solution, managing everything in-house for greater transparency and reliability. Visit our local factory to view your in-progress carpentry and experience exceptional craftsmanship firsthand.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-08-06,member-list,https://renoresearch.sg/member-list/artdecor-design-studio/,https://renoresearch.sg/wp-content/uploads/2024/08/ArtDecor-Design-Studio-Pte-Ltd-Logo.jpg,"ArtDecor Design Studio Pte Ltd Logo",https://renoresearch.sg/wp-content/uploads/2024/08/ArtDecor-Design-Studio-Pte-Ltd-Logo.jpg
"A&amp;A Urban Design","A&amp;A Urban Design Pte Ltd","'+65 8908 0307",mianguyen@aaurbandesign.com,"192 Waterloo Street, #05-02, Singapore 187966, Skyline Building","HDB (BTO)",Asian,"S$ 30,000 to S$ 40,000","<p>At A&amp;A Urban Design, we believe that your living space is more than just a physical structure; it is an extension of your identity and lifestyle. Our design philosophy revolves around creating spaces that seamlessly blend aesthetics, functionality, and innovation.</p>
<p>With years of experience in the interior design industry, we have the skills and expertise to tackle any projects, big or small. From concept to completion, we are committed to delivering exceptional results.</p>
<p>We take a holistic approach to interior design, considering factors such as lighting, color, texture, and flow. Our goal is to create spaces that are not only aesthetically pleasing, but also promote health and well-being.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-08-06,member-list,https://renoresearch.sg/member-list/aa-urban-design/,https://renoresearch.sg/wp-content/uploads/2024/08/AA-Urban-Design-Pte-Ltd-Logo.jpg,"A&A Urban Design Pte Ltd Logo",https://renoresearch.sg/wp-content/uploads/2024/08/AA-Urban-Design-Pte-Ltd-Logo.jpg
"Perimeter Studio","Perimeter Studio","'+65 8124 0909",alex@perimeterstudio.com.sg,"262 Balestier Rd, #01-01A  The Okio, Singapore 329714","HDB (BTO)",Asian,10001-30000,"<div class=""rmwidget widget-text-v3"" data-id=""667d21067dfdbf0017d27d42"">
<div class=""css-ajcmg7"">
<div class=""text-viewer"">
<p class=""view-mode unstyled align-center"">Crafting Narratives within Spaces</p>
</div>
</div>
</div>
<div class=""rmwidget widget-text-v3"" data-id=""667d20b2e8ccac002546fde2"">
<div class=""css-ajcmg7"">
<div class=""text-viewer"">
<p class=""view-mode unstyled align-center"">We craft experiences, not just spaces.</p>
<p class=""view-mode unstyled align-center"">Welcome to Perimeter — where craftsmanship meets creativity.</p>
</div>
</div>
</div>
<div class=""rmwidget widget-text-v3"" data-id=""667d1f348868fe003325f18d"">
<div class=""css-ajcmg7"">
<div class=""text-viewer"">
<p class=""view-mode unstyled align-left"">At Perimeter Studio, we blend innovation with affordability, crafting bespoke interior solutions that tell captivating stories and surpass expectations.</p>
</div>
</div>
</div>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-08-15,member-list,https://renoresearch.sg/member-list/perimeter-studio/,https://renoresearch.sg/wp-content/uploads/2024/08/Perimeter-Studio-Logo.jpg,"Perimeter Studio Logo",https://renoresearch.sg/wp-content/uploads/2024/08/Perimeter-Studio-Logo.jpg
"Le Style Intérieur","Le Style Intérieur","'+65 8353 3888",contactus@lestyle.org,"38 Jalan Pemimpin #07-11, Singapore 577178","HDB (BTO)",Asian,30001-50000,"<p>Inspire your new home with Le Style Intérieur.</p>
<p>We are a team of design and home renovation professionals dedicated to helping you make your dream home a reality. Whether you're looking for a complete overhaul or just a few updates, we've got you covered.</p>
<p>Our passion for design and attention to detail means that every project we work on is treated with the utmost care and attention. We work closely with our clients to understand their needs and preferences, and use our expertise to create a space that not only looks beautiful but also functions perfectly for the way you live.</p>
<p>With years of experience in the industry, we have developed a strong network of trusted suppliers and contractors, so you can rest assured that your project is in good hands from start to finish.</p>
<p>Let's get started on your dream home today!</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-08-15,member-list,https://renoresearch.sg/member-list/le-style-interieur/,https://renoresearch.sg/wp-content/uploads/2024/08/Le-Style-Interieur-Logo.png,"Le Style Interieur Logo",https://renoresearch.sg/wp-content/uploads/2024/08/Le-Style-Interieur-Logo.png
